2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
1 | A | 22
3 | C | 28
5 | D | 16
4 | F | 29
2 |   | 21
